Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Project,Chrome 75.0.3770.100,,,2019-07-10 21:36:20,2019-07-10 21:36:38,18.092s,INCOMPLETE
,,,,,,,
Test Cases/CreateNewProject,Chrome 75.0.3770.100,,,2019-07-10 21:36:20,2019-07-10 21:36:38,17.873s,ERROR
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-07-10 21:36:20,2019-07-10 21:36:20,0.001s,PASSED
Start setup action : SetUp,Chrome 75.0.3770.100,,,2019-07-10 21:36:20,2019-07-10 21:36:36,16.593s,PASSED
"projectNameColumn = """"",Chrome 75.0.3770.100,,,2019-07-10 21:36:36,2019-07-10 21:36:37,0.002s,PASSED
"verifyElementPresent(findTestObject(""Project/icon_RegionDropdown""), 4)",Chrome 75.0.3770.100,,,2019-07-10 21:36:37,2019-07-10 21:36:38,1.101s,PASSED
"click(findTestObject(""Project/icon_RegionDropdown""))",Chrome 75.0.3770.100,,,2019-07-10 21:36:38,2019-07-10 21:36:38,0.124s,PASSED
"verifyElementPresent(findTestObject(""Project/region_Item"", [""region_name"":regionName1]), 2)",Chrome 75.0.3770.100,,,2019-07-10 21:36:38,2019-07-10 21:36:38,0.003s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-10 21:36:38,2019-07-10 21:36:38,0.000s,PASSED
