Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Project,Chrome 75.0.3770.100,,,2019-07-11 02:47:17,2019-07-11 02:47:46,28.897s,INCOMPLETE
,,,,,,,
Test Cases/CreateNewProject,Chrome 75.0.3770.100,,,2019-07-11 02:47:17,2019-07-11 02:47:46,28.646s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-07-11 02:47:17,2019-07-11 02:47:17,0.001s,PASSED
Start setup action : SetUp,Chrome 75.0.3770.100,,,2019-07-11 02:47:17,2019-07-11 02:47:38,20.077s,PASSED
"projectNameColumn = """"",Chrome 75.0.3770.100,,,2019-07-11 02:47:38,2019-07-11 02:47:38,0.001s,PASSED
"verifyElementPresent(findTestObject(""Project/icon_RegionDropdown""), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:47:38,2019-07-11 02:47:39,1.570s,PASSED
"click(findTestObject(""Project/icon_RegionDropdown""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:39,2019-07-11 02:47:39,0.164s,PASSED
"verifyElementPresent(findTestObject(""Project/region_Item"", [""region_name"":regionName]), 2)",Chrome 75.0.3770.100,,,2019-07-11 02:47:39,2019-07-11 02:47:40,0.561s,PASSED
"click(findTestObject(""Project/region_Item"", [""region_name"":regionName]))",Chrome 75.0.3770.100,,,2019-07-11 02:47:40,2019-07-11 02:47:40,0.082s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Project/icon_MarketDropdown""), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:47:40,2019-07-11 02:47:40,0.024s,PASSED
"click(findTestObject(""Object Repository/Project/icon_MarketDropdown""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:40,2019-07-11 02:47:40,0.099s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Project/market_Item""), 2)",Chrome 75.0.3770.100,,,2019-07-11 02:47:40,2019-07-11 02:47:41,0.544s,PASSED
"click(findTestObject(""Object Repository/Project/market_Item""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:41,2019-07-11 02:47:41,0.065s,PASSED
"setText(findTestObject(""Project/txt_ProjectName""), projectName)",Chrome 75.0.3770.100,,,2019-07-11 02:47:41,2019-07-11 02:47:41,0.383s,PASSED
"setText(findTestObject(""Project/txt_CostCode""), costCode)",Chrome 75.0.3770.100,,,2019-07-11 02:47:41,2019-07-11 02:47:41,0.240s,PASSED
"click(findTestObject(""Project/icon_ProjectOwner""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:41,2019-07-11 02:47:41,0.134s,PASSED
"verifyElementPresent(findTestObject(""Project/projectOwner_Item"", [""project_Owner"":projectOwner]), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:47:41,2019-07-11 02:47:42,0.557s,PASSED
"click(findTestObject(""Project/projectOwner_Item"", [""project_Owner"":projectOwner]))",Chrome 75.0.3770.100,,,2019-07-11 02:47:42,2019-07-11 02:47:42,0.075s,PASSED
"setText(findTestObject(""Project/txt_EmergencyPhone""), emergencyPhone)",Chrome 75.0.3770.100,,,2019-07-11 02:47:42,2019-07-11 02:47:42,0.234s,PASSED
"click(findTestObject(""Project/btn_Create""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:42,2019-07-11 02:47:42,0.157s,PASSED
navigateToUrl(URL_ProjectList),Chrome 75.0.3770.100,,,2019-07-11 02:47:42,2019-07-11 02:47:45,2.199s,PASSED
"verifyElementPresent(findTestObject(""Project/txt_SearchBox""), 6)",Chrome 75.0.3770.100,,,2019-07-11 02:47:45,2019-07-11 02:47:45,0.624s,PASSED
"setText(findTestObject(""Project/txt_SearchBox""), projectName)",Chrome 75.0.3770.100,,,2019-07-11 02:47:45,2019-07-11 02:47:45,0.158s,PASSED
"click(findTestObject(""Project/icon_Seach""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:45,2019-07-11 02:47:46,0.148s,PASSED
"projectNameColumn = getText(findTestObject(""Project/column_NameOfProject""))",Chrome 75.0.3770.100,,,2019-07-11 02:47:46,2019-07-11 02:47:46,0.103s,PASSED
if (!(projectNameColumn.equals(projectName))),Chrome 75.0.3770.100,,,2019-07-11 02:47:46,2019-07-11 02:47:46,0.397s,FAILED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-11 02:47:46,2019-07-11 02:47:46,0.000s,PASSED
