Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Project,Chrome 75.0.3770.100,,,2019-07-11 02:49:58,2019-07-11 02:51:14,1m - 16.097s,INCOMPLETE
,,,,,,,
Test Cases/CreateNewProject,Chrome 75.0.3770.100,,,2019-07-11 02:49:58,2019-07-11 02:51:14,1m - 15.794s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 75.0.3770.100,,,2019-07-11 02:49:58,2019-07-11 02:49:58,0.001s,PASSED
Start setup action : SetUp,Chrome 75.0.3770.100,,,2019-07-11 02:49:58,2019-07-11 02:51:04,1m - 5.885s,PASSED
"projectNameColumn = """"",Chrome 75.0.3770.100,,,2019-07-11 02:51:04,2019-07-11 02:51:04,0.001s,PASSED
"verifyElementPresent(findTestObject(""Project/icon_RegionDropdown""), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:51:04,2019-07-11 02:51:06,2.104s,PASSED
"click(findTestObject(""Project/icon_RegionDropdown""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:06,2019-07-11 02:51:06,0.117s,PASSED
"verifyElementPresent(findTestObject(""Project/region_Item"", [""region_name"":regionName]), 2)",Chrome 75.0.3770.100,,,2019-07-11 02:51:06,2019-07-11 02:51:07,0.557s,PASSED
"click(findTestObject(""Project/region_Item"", [""region_name"":regionName]))",Chrome 75.0.3770.100,,,2019-07-11 02:51:07,2019-07-11 02:51:07,0.088s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Project/icon_MarketDropdown""), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:51:07,2019-07-11 02:51:07,0.027s,PASSED
"click(findTestObject(""Object Repository/Project/icon_MarketDropdown""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:07,2019-07-11 02:51:07,0.104s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Project/market_Item""), 2)",Chrome 75.0.3770.100,,,2019-07-11 02:51:07,2019-07-11 02:51:08,0.539s,PASSED
"click(findTestObject(""Object Repository/Project/market_Item""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:08,2019-07-11 02:51:08,0.080s,PASSED
"setText(findTestObject(""Project/txt_ProjectName""), projectName)",Chrome 75.0.3770.100,,,2019-07-11 02:51:08,2019-07-11 02:51:08,0.271s,PASSED
"setText(findTestObject(""Project/txt_CostCode""), costCode)",Chrome 75.0.3770.100,,,2019-07-11 02:51:08,2019-07-11 02:51:08,0.200s,PASSED
"click(findTestObject(""Project/icon_ProjectOwner""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:08,2019-07-11 02:51:08,0.096s,PASSED
"verifyElementPresent(findTestObject(""Project/projectOwner_Item"", [""project_Owner"":projectOwner]), 4)",Chrome 75.0.3770.100,,,2019-07-11 02:51:08,2019-07-11 02:51:09,0.546s,PASSED
"click(findTestObject(""Project/projectOwner_Item"", [""project_Owner"":projectOwner]))",Chrome 75.0.3770.100,,,2019-07-11 02:51:09,2019-07-11 02:51:09,0.080s,PASSED
"setText(findTestObject(""Project/txt_EmergencyPhone""), emergencyPhone)",Chrome 75.0.3770.100,,,2019-07-11 02:51:09,2019-07-11 02:51:09,0.203s,PASSED
"click(findTestObject(""Project/btn_Create""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:09,2019-07-11 02:51:09,0.111s,PASSED
navigateToUrl(URL_ProjectList),Chrome 75.0.3770.100,,,2019-07-11 02:51:09,2019-07-11 02:51:11,2.256s,PASSED
"verifyElementPresent(findTestObject(""Project/txt_SearchBox""), 6)",Chrome 75.0.3770.100,,,2019-07-11 02:51:11,2019-07-11 02:51:14,2.185s,PASSED
"setText(findTestObject(""Project/txt_SearchBox""), projectName)",Chrome 75.0.3770.100,,,2019-07-11 02:51:14,2019-07-11 02:51:14,0.139s,PASSED
"click(findTestObject(""Project/icon_Seach""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:14,2019-07-11 02:51:14,0.112s,PASSED
"projectNameColumn = getText(findTestObject(""Project/column_NameOfProject""))",Chrome 75.0.3770.100,,,2019-07-11 02:51:14,2019-07-11 02:51:14,0.053s,PASSED
if (!(projectNameColumn.equals(projectName))),Chrome 75.0.3770.100,,,2019-07-11 02:51:14,2019-07-11 02:51:14,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 75.0.3770.100,,,2019-07-11 02:51:14,2019-07-11 02:51:14,0.001s,PASSED
